sample_id	context	U_proportion	observed	adjust
GSM1085191	CG	0.744686367255504	0.255313632744496	0.201023569077514
GSM1085192	CG	0.748488906914348	0.251511093085652	0.19722102941867
GSM1085193	CG	0.732233992086917	0.267766007913083	0.213475944246101
GSM1085195	CG	0.717362807636247	0.282637192363753	0.228347128696771
GSM1085196	CG	0.757164576770253	0.242835423229747	0.188545359562765
GSM1085197	CG	0.73937581332783	0.26062418667217	0.206334123005188
GSM1085198	CG	0.738794307530991	0.261205692469009	0.206915628802027
GSM1085201	CG	0.768639449475997	0.231360550524003	0.177070486857021
GSM1085202	CG	0.746100227394317	0.253899772605683	0.199609708938701
GSM1085203	CG	0.743321468130639	0.256678531869361	0.202388468202379
GSM1085204	CG	0.749127228568885	0.250872771431115	0.196582707764133
GSM1085205	CG	0.734569314022772	0.265430685977228	0.211140622310246
GSM1085207	CG	0.735200325981019	0.264799674018981	0.210509610351999
GSM1085208	CG	0.746563920608612	0.253436079391388	0.199146015724406
GSM1085210	CG	0.720447718167363	0.279552281832637	0.225262218165655
GSM1085213	CG	0.734168301723245	0.265831698276755	0.211541634609773
GSM1085214	CG	0.752232530923005	0.247767469076995	0.193477405410013
GSM1085215	CG	0.71618081157489	0.28381918842511	0.229529124758128
GSM1085216	CG	0.73584710644732	0.26415289355268	0.209862829885698
GSM1085217	CG	0.752349267608067	0.247650732391933	0.193360668724951
GSM1085218	CG	0.749595373055767	0.250404626944233	0.196114563277251
GSM1085219	CG	0.75077695111964	0.24922304888036	0.194932985213378
GSM1085222	CG	0.696668440256912	0.303331559743088	0.249041496076106
GSM1085223	CG	0.738684827170427	0.261315172829573	0.207025109162591
GSM1085224	CG	0.815438045016024	0.184561954983976	0.130271891316994
GSM1085225	CG	0.724915209230644	0.275084790769356	0.220794727102374
GSM1085226	CG	0.743880160841263	0.256119839158737	0.201829775491755
GSM1085227	CG	0.746699284435327	0.253300715564673	0.199010651897691
GSM1085228	CG	0.738521506034764	0.261478493965236	0.207188430298254
GSM1085229	CG	0.756514145825932	0.243485854174068	0.189195790507086
GSM1085230	CG	0.7500034613211	0.2499965386789	0.195706475011918
GSM1085231	CG	0.742951159938941	0.257048840061059	0.202758776394077
GSM1085233	CG	0.728919817886711	0.271080182113289	0.216790118446307
GSM1085234	CG	0.741058893885515	0.258941106114485	0.204651042447503
GSM1085235	CG	0.743712601146993	0.256287398853008	0.201997335186026
GSM1085236	CG	0.738625085684485	0.261374914315515	0.207084850648533
GSM1085237	CG	0.750221304412446	0.249778695587554	0.195488631920572
GSM1085238	CG	0.743154409550232	0.256845590449769	0.202555526782787
GSM1085240	CG	0.728473725727325	0.271526274272675	0.217236210605693
GSM1085241	CG	0.736186161663243	0.263813838336757	0.209523774669775
GSM1085242	CG	0.750392907670891	0.249607092329109	0.195317028662127
GSM1085243	CG	0.732811522339721	0.267188477660279	0.212898413993297
GSM1085244	CG	0.760436943856954	0.239563056143046	0.185272992476064
GSM1085245	CG	0.752257512083061	0.24774248791694	0.193452424249958
GSM1085246	CG	0.733874014709575	0.266125985290425	0.211835921623443
GSM1085247	CG	0.729234313234289	0.270765686765711	0.216475623098729
GSM1085248	CG	0.759103348728901	0.240896651271099	0.186606587604117
GSM1085249	CG	0.738728889607195	0.261271110392805	0.206981046725823
GSM1085250	CG	0.744455359158496	0.255544640841504	0.201254577174522
GSM1085252	CG	0.750926133729893	0.249073866270107	0.194783802603125
GSM1085253	CG	0.740939009464621	0.259060990535379	0.204770926868397
GSM1085254	CG	0.751231530833992	0.248768469166008	0.194478405499026
GSM1085256	CG	0.751100501676175	0.248899498323825	0.194609434656843
GSM1085257	CG	0.755030238734091	0.244969761265909	0.190679697598927
GSM1085258	CG	0.780737189829233	0.219262810170767	0.164972746503785
GSM1085259	CG	0.74042976368878	0.25957023631122	0.205280172644238
GSM1085260	CG	0.726828774965889	0.273171225034111	0.218881161367129
GSM1085261	CG	0.741334760186965	0.258665239813035	0.204375176146053
GSM1085263	CG	0.744059693039611	0.255940306960389	0.201650243293407
GSM1085264	CG	0.760500885911571	0.239499114088429	0.185209050421447
GSM1085265	CG	0.748906700602249	0.251093299397751	0.196803235730769
GSM1085266	CG	0.74820062677301	0.25179937322699	0.197509309560008
GSM1085267	CG	0.731164774875221	0.268835225124779	0.214545161457797
GSM1085268	CG	0.745358101540746	0.254641898459254	0.200351834792272
GSM1085269	CG	0.7622620413071	0.2377379586929	0.183447895025918
GSM1085270	CG	0.745124942856183	0.254875057143817	0.200584993476835
GSM1085271	CG	0.713238457745661	0.286761542254339	0.232471478587357
GSM1085272	CG	0.751720362978853	0.248279637021147	0.193989573354165
GSM1085274	CG	0.764445295650798	0.235554704349202	0.18126464068222
GSM1085276	CG	0.747716265683925	0.252283734316075	0.197993670649093
GSM1085277	CG	0.720715288996963	0.279284711003037	0.224994647336055
GSM1085278	CG	0.718740956848716	0.281259043151284	0.226968979484302
GSM1085297	CG	0.739615915691975	0.260384084308025	0.206094020641043
GSM1085300	CG	0.742746881342867	0.257253118657133	0.202963054990151
GSM1085301	CG	0.721711261534346	0.278288738465654	0.223998674798672
GSM1085303	CG	0.731068647174656	0.268931352825344	0.214641289158362
GSM1085311	CG	0.739591546055976	0.260408453944024	0.206118390277042
GSM1085313	CG	0.724815513558101	0.275184486441899	0.220894422774917
GSM1085318	CG	0.733823618411366	0.266176381588634	0.211886317921652
GSM1085327	CG	0.723237200283341	0.276762799716659	0.222472736049677
GSM1085332	CG	0.73690705841724	0.26309294158276	0.208802877915778
GSM1085333	CG	0.758945894212314	0.241054105787686	0.186764042120704
GSM1085334	CG	0.755935674643531	0.244064325356469	0.189774261689487
GSM1085337	CG	0.754868971340746	0.245131028659254	0.190840964992272
