,,,,,,,,,,,
Data_Type,Sample_name,Sample_id,Genotype (RIL_ID),Generation,Lineage,Sublineage,File_Name_Processed,Raw_File_Name_R1,Raw_File_Name_R2,Raw_File2_Name_R1,Raw_File2_Name_R2
WGBS,RIL7_G02_L02_4,RIL7_G02_L02_4_S141_L003,RIL7,2,2,4,methylome_RIL7_G02_L02_4_All.txt,RIL7_G02_L02_4_S141_L003_1.fastq.gz,RIL7_G02_L02_4_S141_L003_2.fastq.gz,,
WGBS,RIL7_G09_L01_2,RIL7_G09_L01_2_S143_L003,RIL7,9,1,2,methylome_RIL7_G09_L01_2_All.txt,RIL7_G09_L01_2_S143_L003_1.fastq.gz,RIL7_G09_L01_2_S143_L003_2.fastq.gz,,
WGBS,RIL7_G09_L02_2,RIL7_G09_L02_2_S142_L003,RIL7,9,2,2,methylome_RIL7_G09_L02_2_All.txt,RIL7_G09_L02_2_S142_L003_1.fastq.gz,RIL7_G09_L02_2_S142_L003_2.fastq.gz,,
WGBS,RIL11_G02_L01_3,RIL11_G02_L01_3_S147_L003,RIL11,2,1,3,methylome_RIL11_G02_L01_3_All.txt,RIL11_G02_L01_3_S147_L003_1.fastq.gz,RIL11_G02_L01_3_S147_L003_2.fastq.gz,,
WGBS,RIL11_G02_L01_4,RIL11_G02_L01_4_S165_L003,RIL11,2,1,4,methylome_RIL11_G02_L01_4_All.txt,RIL11_G02_L01_4_S165_L003_1.fastq.gz,RIL11_G02_L01_4_S165_L003_2.fastq.gz,,
WGBS,RIL11_G02_L02_3,RIL11_G02_L02_3_S164_L003,RIL11,2,2,3,methylome_RIL11_G02_L02_3_All.txt,RIL11_G02_L02_3_S164_L003_1.fastq.gz,RIL11_G02_L02_3_S164_L003_2.fastq.gz,,
WGBS,RIL11_G02_L02_4,RIL11_G02_L02_4_S166_L003,RIL11,2,2,4,methylome_RIL11_G02_L02_4_All.txt,RIL11_G02_L02_4_S166_L003_1.fastq.gz,RIL11_G02_L02_4_S166_L003_2.fastq.gz,,
WGBS,RIL11_G09_L01_1,RIL11_G09_L01_1_S146_L003,RIL11,9,1,1,methylome_RIL11_G09_L01_1_All.txt,RIL11_G09_L01_1_S146_L003_1.fastq.gz,RIL11_G09_L01_1_S146_L003_2.fastq.gz,,
WGBS,RIL11_G09_L01_2,RIL11_G09_L01_2_S167_L003,RIL11,9,1,2,methylome_RIL11_G09_L01_2_All.txt,RIL11_G09_L01_2_S167_L003_1.fastq.gz,RIL11_G09_L01_2_S167_L003_2.fastq.gz,,
WGBS,RIL11_G09_L02_1,RIL11_G09_L02_1_S148_L003,RIL11,9,2,1,methylome_RIL11_G09_L02_1_All.txt,RIL11_G09_L02_1_S148_L003_1.fastq.gz,RIL11_G09_L02_1_S148_L003_2.fastq.gz,,
WGBS,RIL11_G09_L02_2,RIL11_G09_L02_2_S163_L003,RIL11,9,2,2,methylome_RIL11_G09_L02_2_All.txt,RIL11_G09_L02_2_S163_L003_1.fastq.gz,RIL11_G09_L02_2_S163_L003_2.fastq.gz,,
WGBS,RIL13_G02_L02_3,RIL13_G02_L02_3_S44,RIL13,2,2,3,methylome_RIL13_G02_L02_3_All.txt,RIL13_G02_L02_3_S44_1.fastq.gz,RIL13_G02_L02_3_S44_2.fastq.gz,,
WGBS,RIL13_G02_L01_3,RIL13_G02_L01_3_S39_L002,RIL13,2,1,3,methylome_RIL13_G02_L01_3_All.txt,RIL13_G02_L01_3_S39_L002_1.fastq.gz,RIL13_G02_L01_3_S39_L002_2.fastq.gz,,
WGBS,RIL13_G02_L01_4,RIL13_G02_L01_4_S99_L003,RIL13,2,1,4,methylome_RIL13_G02_L01_4_All.txt,RIL13_G02_L01_4_S99_L003_1.fastq.gz,RIL13_G02_L01_4_S99_L003_2.fastq.gz,,
WGBS,RIL13_G09_L01_1,RIL13_G09_L01_1_S100_L003,RIL13,9,1,1,methylome_RIL13_G09_L01_1_All.txt,RIL13_G09_L01_1_S100_L003_1.fastq.gz,RIL13_G09_L01_1_S100_L003_2.fastq.gz,,
