gene_id	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G54840	ROS5	3.31027755322226	-0.168543260516065	1.0430268294793	-0.161590532239909	0.871628313501928	0.953995445698846
AT1G57800	VIM5	0.0681318063531011	0.462776992253244	4.20596906966089	0.11002862469708	0.912386673507291	NA
AT1G57820	VIM1	77.6154114614144	1.35900161097081	0.722370816641054	1.88130746655855	0.0599301059259176	0.284115574797395
AT1G66040	VIM4	2420.53653228659	12.0435199855744	1.69555962146414	7.10297640561563	1.22098256555119e-12	8.63438170938947e-09
AT1G66050	VIM2	3288.64257657093	9.41072222396194	0.800631981209364	11.7541173033669	6.72599415592219e-32	1.42691966017889e-27
AT1G69770	CMT3	125.183892268118	1.11577041455023	0.505005000591028	2.20942448737022	0.0271451293592277	0.187036024474185
AT1G80740	CMT1	0.747413229321853	-0.706468530341125	2.39872261897969	-0.294518642860684	0.768361619865566	NA
AT2G36490	ROS1	813.100136426409	-0.575086044893405	0.275787254510054	-2.08525243820664	0.0370463922291768	0.219720215583446
AT3G10010	DML2	251.541563730767	-0.6920404808209	0.253629792552587	-2.72854570378365	0.00636142742888687	0.0800460752691785
AT3G14980	ROS4	301.287149882776	-0.0415206166023186	0.238796530022552	-0.173874455371681	0.861964128473079	0.952127928020221
AT3G48430	REF6	294.093975776541	-0.24709410219342	0.239862994976794	-1.03014682284496	0.302941088103044	0.62642632823535
AT4G08590	VIM6	25.8860101553848	0.475645085535565	0.688630507443721	0.690711608611731	0.489746792683102	0.766299274151657
AT4G19020	CMT2	229.692903672289	-0.198792170356654	0.297565677173709	-0.668061492322605	0.504094341038812	0.7758333048489
AT4G34060	DML3	51.8414985227556	-0.291715679012546	0.431585339881826	-0.675916561698832	0.49909362197453	0.773125779674597
AT5G04560	DME	730.578564402637	-0.849846287745395	0.415123126905749	-2.04721498915272	0.0406369803510204	0.231244154026193
AT5G14620	DRM2	143.708275376991	0.0898601448534451	0.178075624811656	0.504617883264411	0.613827246809597	0.84065615087247
AT5G15380	DRM1	0.121750170015374	0	4.20596906966089	0	1	NA
AT5G39550	VIM3	39.126371552057	0.894218022893823	0.704635046676016	1.26905130125464	0.204422767537347	0.526250335311834
AT5G49160	MET1	268.852893557287	0.933712910294101	0.448427227794218	2.08219495253883	0.0373246661373245	0.220819017600486
AT5G58130	ROS3	317.761931897502	0.0308569388716127	0.188068279168213	0.164073064357724	0.869673625961788	0.953576012679684
